Province,Region,Area,Electorate,Valid_Votes,Remain,Leave,Rejected_Ballots,Pct_Remain,Pct_Leave,Pct_Rejected
England,East,Peterborough,120892,87392,34176,53216,77,39.11,60.89,0.09
England,East,Luton,127612,84481,36708,47773,135,43.45,56.55,0.16
England,East,Southend-on-Sea,128856,93870,39348,54522,69,41.92,58.08,0.07
England,East,Thurrock,109897,79916,22151,57765,34,27.72,72.28,0.04
England,East,Bedford,119530,86066,41497,44569,69,48.22,51.78,0.08
England,East,Central Bedfordshire,204004,158804,69670,89134,90,43.87,56.13,0.06
England,East,Cambridge,80108,57799,42682,15117,53,73.85,26.15,0.09
England,East,East Cambridgeshire,62435,48086,23599,24487,38,49.08,50.92,0.08
England,East,Fenland,71447,52626,15055,37571,23,28.61,71.39,0.04
England,East,Huntingdonshire,128486,99927,45729,54198,63,45.76,54.24,0.06
England,East,South Cambridgeshire,114830,93189,56128,37061,61,60.23,39.77,0.07
England,East,Basildon,132771,97999,30748,67251,63,31.38,68.62,0.06
England,East,Braintree,112562,86236,33523,52713,67,38.87,61.13,0.08
England,East,Brentwood,58777,46704,19077,27627,21,40.85,59.15,0.04
England,East,Castle Point,68860,51845,14154,37691,64,27.3,72.7,0.12
England,East,Chelmsford,129971,100794,47545,53249,58,47.17,52.83,0.06
England,East,Colchester,127520,95719,44414,51305,63,46.4,53.6,0.07
England,East,Epping Forest,100016,76852,28676,48176,48,37.31,62.69,0.06
England,East,Harlow,59124,43469,13867,29602,20,31.9,68.1,0.05
England,East,Maldon,49073,38831,14529,24302,19,37.42,62.58,0.05
England,East,Rochford,66589,52447,17510,34937,32,33.39,66.61,0.06
England,East,Tendring,111167,82657,25210,57447,46,30.5,69.5,0.06
England,East,Uttlesford,64735,51943,25619,26324,29,49.32,50.68,0.06
England,East,Broxbourne,68997,50872,17166,33706,35,33.74,66.26,0.07
England,East,Dacorum,108965,86244,42542,43702,63,49.33,50.67,0.07
England,East,Hertsmere,73295,56125,27593,28532,34,49.16,50.84,0.06
England,East,North Hertfordshire,99316,77672,42234,35438,65,54.37,45.63,0.08
England,East,Three Rivers,67380,52848,25751,27097,48,48.73,51.27,0.09
England,East,Watford,65060,46586,23167,23419,49,49.73,50.27,0.11
England,East,Breckland,98989,73548,26313,47235,45,35.78,64.22,0.06
England,East,Broadland,99254,77737,35469,42268,44,45.63,54.37,0.06
England,East,Great Yarmouth,72634,50128,14284,35844,30,28.5,71.5,0.06
England,East,King's Lynn and West Norfolk,113884,85080,28587,56493,48,33.6,66.4,0.06
England,East,North Norfolk,83065,63790,26214,37576,39,41.09,58.91,0.06
England,East,Norwich,96091,66366,37326,29040,56,56.24,43.76,0.08
England,East,South Norfolk,102395,80358,38817,41541,60,48.31,51.69,0.07
England,East,Babergh,70628,55242,25309,29933,30,45.81,54.19,0.05
England,East,Forest Heath,38527,27951,9791,18160,26,35.03,64.97,0.09
England,East,Ipswich,91574,66353,27698,38655,47,41.74,58.26,0.07
England,East,Mid Suffolk,78325,61185,27391,33794,37,44.77,55.23,0.06
England,East,St Edmundsbury,81148,62210,26986,35224,45,43.38,56.62,0.07
England,East,Suffolk Coastal,98195,79184,37218,41966,42,47,53,0.05
England,East,Waveney,90391,65646,24356,41290,41,37.1,62.9,0.06
England,East,St Albans,104859,86445,54208,32237,79,62.71,37.29,0.09
England,East,Welwyn Hatfield,78146,58610,27550,31060,31,47.01,52.99,0.05
England,East,East Hertfordshire,106260,85366,42372,42994,67,49.64,50.36,0.08
England,East,Stevenage,62156,45785,18659,27126,26,40.75,59.25,0.06
England,East Midlands,Derby,171246,120655,51612,69043,117,42.78,57.22,0.1
England,East Midlands,Leicester,213819,138972,70980,67992,335,51.08,48.92,0.24
England,East Midlands,Rutland,29390,22966,11353,11613,18,49.43,50.57,0.08
England,East Midlands,Nottingham,195394,120661,59318,61343,130,49.16,50.84,0.11
England,East Midlands,Amber Valley,96760,73820,29319,44501,44,39.72,60.28,0.06
England,East Midlands,Bolsover,58063,41972,12242,29730,27,29.17,70.83,0.06
England,East Midlands,Chesterfield,79905,57424,22946,34478,46,39.96,60.04,0.08
England,East Midlands,Derbyshire Dales,57075,46728,22633,24095,28,48.44,51.56,0.06
England,East Midlands,Erewash,87596,66530,25791,40739,36,38.77,61.23,0.05
England,East Midlands,High Peak,72487,54833,27116,27717,31,49.45,50.55,0.06
England,East Midlands,North East Derbyshire,78855,59310,22075,37235,31,37.22,62.78,0.05
England,East Midlands,South Derbyshire,73856,56695,22479,34216,23,39.65,60.35,0.04
England,East Midlands,Blaby,73832,56471,22888,33583,41,40.53,59.47,0.07
England,East Midlands,Charnwood,133780,94172,43500,50672,85,46.19,53.81,0.09
England,East Midlands,Harborough,67420,54878,27028,27850,32,49.25,50.75,0.06
England,East Midlands,Hinckley and Bosworth,85305,65470,25969,39501,46,39.67,60.33,0.07
England,East Midlands,Melton,37273,30305,12695,17610,22,41.89,58.11,0.07
England,East Midlands,North West Leicestershire,73944,57611,22642,34969,27,39.3,60.7,0.05
England,East Midlands,Oadby and Wigston,42684,31465,14292,17173,24,45.42,54.58,0.08
England,East Midlands,Boston,39363,30404,7430,22974,12,24.44,75.56,0.04
England,East Midlands,East Lindsey,107009,80128,23515,56613,50,29.35,70.65,0.06
England,East Midlands,Lincoln,63351,43894,18902,24992,34,43.06,56.94,0.08
England,East Midlands,North Kesteven,86468,67753,25570,42183,38,37.74,62.26,0.06
England,East Midlands,South Holland,65701,49497,13074,36423,21,26.41,73.59,0.04
England,East Midlands,South Kesteven,105457,82471,33047,49424,52,40.07,59.93,0.06
England,East Midlands,West Lindsey,73499,54753,20906,33847,28,38.18,61.82,0.05
